entidad_id,nombre_normalizado,nombre_real,tipo,subtipo,categoria,nit,cod_institucion,email,direccion,telefono,ciudad,municipio_id,departamento_id,orden,sector,naturaleza_juridica,estado,representante,total_registros,num_variantes
1200,JUZGADO SEXTO LABORAL DEL CIRCUITO DE IBAGUÉ,,JUZGADO,LABORAL_CIRCUITO,JUDICIAL,,,J06LCTOIBA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,IBAGUÉ,1029,30,,,,,,96,1
1201,"JUZGADO QUINTO LABORAL DEL CIRCUITO BUCARAMANGA , SANTANDER",,JUZGADO,LABORAL_CIRCUITO,JUDICIAL,,,J05LCBUC@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BUCARAMANGA,903,28,,,,,,96,9
1202,JUZGADO TREINTA Y TRES CIVIL MUNICIPAL SANTIAGO DE CALI,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,J33CMCALI@CENDOJ.RAMAJUDICIAL.GOV.CO,,,CALI,1064,31,,,,,,96,5
1203,CONSEJO SUPERIOR DE LA JUDICATURA DIRECCIÓN SECCIONAL DE BUCARAMANGA,,RAMA_JUDICIAL,,JUDICIAL,,,COBCOACBUC@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BUCARAMANGA,903,28,,,,,,96,4
1204,SUPERINTENDENCIA POTENCIA  DE SOCIEDADES,SUPERINTENDENCIA DE SOCIEDADES,SUPERINTENDENCIA,SOCIEDADES,COACTIVA,899999086,30,MEDCAUTELATESADMON@SUPERSOCIEDADES.GOV.CO,AVENIDA EL DORADO NO. 51- 80,2201000,,,,NACIONAL,COMERCIO INDUSTRIA Y TURISMO,SUPERINTENDENCIA CON PERSONERÍA JURÍDICA,ACTIVA,BILLY RAUL ANTONIO ESCOBAR PÉREZ,95,2
1205,JUZGADO SEGUNDO DE PEQUEÑAS CAUSAS Y COMPETENCIAS,,JUZGADO,,JUDICIAL,,,J02PQCCMBA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,95,7
1206,JUZGADO 64 CIVIL MUNICIPAL DE BOGOT À,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,CMPL64BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,95,5
1207,JUZGADO PROMISCUO MUNICIPAL DE MANAURE CESAR,JUZGADO 001 PROMISCUO MUNICIPAL DE MANAURE,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,204434089001,J01PRMPALMANAURE@CENDOJ.RAMAJUDICIAL.GOV.CO,CALLE 3#7-114,5790311,MANAURE,685,19,ORDINARIA,JUDICIAL,,,EDGARDO JOSE BARRIOS YEPEZ,95,8
1208,JUZGADO OCTAVO CIVIL DEL CIRCUITO,,JUZGADO,CIVIL_CIRCUITO,JUDICIAL,,,JCIVCCU8@CENDOJ.RAMAJUDICIAL.GOV.CO,,,MEDELLÍN,,,,,,,,95,7
1209,"JUZGADO PROMISCUO MUNICIPAL DE LA VEGA , CUNDINAMARCA",JUZGADO 001 PROMISCUO MUNICIPAL DE LA VEGA,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,193974089001,JPRMPALLAVEGABT@CENDOJ.RAMAJUDICIAL.GOV.CO,CALLE 3#6-60,2-8240000 EXT 675,LA VEGA,540,14,ORDINARIA,JUDICIAL,,,DARWIN GERSON  MUÑOZ BURBANO,95,11
1210,JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE PASTO,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE PASTO,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,520014189001,J04PRPQCPSO@CENDOJ.RAMAJUDICIAL.GOV.CO,CALLE 19#21B-26 - EDIFICIO MONTANA PI 1,7292857-,PASTO,791,22,ORDINARIA,JUDICIAL,,,JORGE DANIEL TORRES TORRES,95,9
1211,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE PUERTO COLOMBIA,JUZGADO 001 PROMISCUO MUNICIPAL DE PUERTO COLOMBIA,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,085734089001,J01PRMPALPCOLOMBIA@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 6#3-19 - PISO 2. PI 2,5-3885005,PUERTO COLOMBIA,148,4,ORDINARIA,JUDICIAL,,,ALBERTO MARIO OSPINO SOTO,95,10
1212,JUZGADO SEGUNDO CIVIL DEL CIRCUITO FUNZA - CUNDINAMARCA,,JUZGADO,CIVIL_CIRCUITO,JUDICIAL,,,J02CCTOFUNZA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,FUNZA,517,14,,,,,,95,12
1213,JUZGADO SEGUNDO CIVIL MUNICIPAL DE FACATATIVÁ,JUZGADO 001 CIVIL MUNICIPAL DE FACATATIVÁ,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,252694003001,J02CMPALFAC@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 1#1-27,N/A-601353266,FACATATIVÁ,514,14,ORDINARIA,JUDICIAL,,,OLGA CECILIA SOLER  RINCON,95,3
1214,JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE  SANTIAGO DE CALI - VALLE,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE CALI,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,760014189001,J04PCCMCALI@CENDOJ.RAMAJUDICIAL.GOV.CO,CALLE 73#26M-90,N/A-3001800729,CALI,1064,31,ORDINARIA,JUDICIAL,,,LUIS CARLOS RINCON  AMEZQUITA,95,17
1215,JUZGADO TREINTA Y UNO CIVIL MUNICIPAL,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,J31CMCALI@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,94,4
1216,SECRETARÍA DE MOVILIDAD MULTIMODAL Y SOSTENIBLE,,SECRETARIA,TRANSITO,COACTIVA,,,TRANSITO@SANTAMARTA.GOV.CO,,,,,,,,,,,94,2
1217,JUZGADO PRIMERO PROMISCUO MUNICIPAL PLANETA RICA - CÓRDOBA,,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,,J01PRMPALPLANETARICA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,PLANETA RICA,619,15,,,,,,94,16
1218,JUZGADO DÉCIMO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES DE BARRANQUILLA ATLÁNTICO,,JUZGADO,,JUDICIAL,,,J10PRPCBQUILLA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BARRANQUILLA,136,4,,,,,,94,12
1219,JUZGADO CUARTO CIVIL DEL CIRCUITO BUCARAMANGA SANTANDER,,JUZGADO,CIVIL_CIRCUITO,JUDICIAL,,,J04CCBUC@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BUCARAMANGA,903,28,,,,,,94,12
1220,JUZGADO VEINTIOCHO CIVIL DEL CIRCUITO DE BOGOTA D C,JUZGADO 001 CIVIL DEL CIRCUITO DE BOGOTÁ,JUZGADO,CIVIL_CIRCUITO,JUDICIAL,,110013103001,CCTO28BT@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 10#14-33 - PISO 15,1-2820244,BOGOTÁ D.C.,1104,14,ORDINARIA,JUDICIAL,,,NESTOR  LEON  CAMELO,94,5
1221,JUZGADO SEXTO CIVIL MUNICIPAL DE PASTO,JUZGADO 002 CIVIL MUNICIPAL DE PASTO,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,520014003002,JCMPAL06PSO@NOTIFICACIONESRJ.GOV.CO,CALLE 19#23-00 - BQ II PI 1,2-,PASTO,791,22,ORDINARIA,JUDICIAL,,,CAMPO ELÍAS  CÓRDOVA  ARÍAS,94,3
1222,JUZGADO PROMISCUO MUNICIPAL  LEBRIJA,JUZGADO 001 PROMISCUO MUNICIPAL DE LEBRIJA,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,684064089001,J01PRMPALLEBRIJA@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 8#10-17 - PI 2,7-,LEBRIJA,943,28,ORDINARIA,JUDICIAL,,,JUDITH NATALIE GARCIA GARCIA,94,12
1223,JUZGADO CUARTO 04 DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES LOCALIDAD,,JUZGADO,,JUDICIAL,,,J04PQCCMBA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,93,3
1224,JUZGADO SEGUNDO TRANSITORIO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO 004 TRANSITORIO DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE POPAYÁN,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,190014189004,J02PRPCTUN@CENDOJ.RAMAJUDICIAL.GOV.CO,CALLE 8#10-00 - PALACIO DE JUSTICIA LUIS CARLOS PEREZ,2-8240000 ext. 563,POPAYÁN,,,ORDINARIA,JUDICIAL,,,PATRICIA MARIA OROZCO  URRUTIA,93,5
1225,JUZGADO QUINTO DE FAMILIA,,JUZGADO,FAMILIA,JUDICIAL,,,J05FABUC@CENDOJ.RAMAJUDICIAL.GOV.CO,,,MEDELLÍN,,,,,,,,93,5
1226,JUZGADO SÉPTIMO CIVIL MUNICIPAL PALMIRA - VALLE,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,J07CMPALMIRA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,PALMIRA,1081,31,,,,,,93,10
1227,JUZGADO TERCERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE SINCELEJO,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE SINCELEJO,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,700014189001,CMPAL05SINC@CENDOJ.RAMAJUDICIAL.GOV.CO,"CARRERA 16#22-51 - TO GENTIUM, TERCER PI.",5-,SINCELEJO,1004,29,ORDINARIA,JUDICIAL,,,ANIBAL VICENTE  GONZALEZ  GALLO,93,8
1228,JUZGADO PRIMERO CIVIL MUNICIPAL DE GARZÓN HUILA,JUZGADO 001 CIVIL MUNICIPAL DE GARZÓN,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,412984003001,J01CMPALGARZON@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 8 # 7-73,8-8330576,GARZÓN,649,18,ORDINARIA,JUDICIAL,,,ALVARO ANDRES RODRIGUEZ  BERMEO,93,5
1229,JUZGADO SEGUNDO PROMISCUO MUNICIPAL DE ANSERMA CALDAS,JUZGADO 001 PROMISCUO MUNICIPAL DE CALDAS,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,051294089001,J02PRMPALANSERMA@CENDOJ.RAMAJUDICIAL.GOV.CO,CALLE 131S#51-71 - PISO 3 ED. APARTAMENTOS SAN RAFAEL,N/A-6042783995,ANSERMA,329,8,ORDINARIA,JUDICIAL,,,LUZ AMANDA FERREIRA CASTRO,93,4
1230,JUZGADO SÉPTIMO CIVIL MUNICIPAL DE ORALIDAD TRANSFORMADO EN JUZGADO CUARTO TRANSITORIO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE TUNJA,,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,,J04PRPCTUN@CENDOJ.RAMAJUDICIAL.GOV.CO,,,TUNJA,318,7,,,,,,93,32
1231,JUZGADO QUINCE LABORAL DEL CIRCUITO DE BOGOTÁ D C,,JUZGADO,LABORAL_CIRCUITO,JUDICIAL,,,JLATO15@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,14,,,,,,93,7
1232,JUZGADO PRIMERO PROMISCUO MUNICIPAL CIÉNAGA - MAGDALENA,,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,,J01PMPALCIENA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,CIÉNAGA,696,20,,,,,,93,9
1233,JUZGADO PROMISCUO MUNICIPAL DE CUMARAL,JUZGADO 001 PROMISCUO MUNICIPAL DE CUMARAL,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,502264089001,J01PRMCUMARAL@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 22 # 12 - 93 - BARRIO EL TRIUNFO,8-6870572,CUMARAL,726,21,ORDINARIA,JUDICIAL,,,KARINA RUIZ TRUJILLO,93,6
1234,JUZGADO 009 CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE BOGOTÁ,JUZGADO 009 CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE BOGOTÁ,JUZGADO,EJECUCION_CIVIL,JUDICIAL,,110014303009,RADICACIONJ09EJECMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 10#14-33,,BOGOTÁ D.C.,1104,5,ORDINARIA,JUDICIAL,,,ANNABEL  MENDOZA  MARTINEZ,93,3
1235,JUZGADO CINCUENTA Y UNO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE MEDELLÍN,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,050014189001,CMPL69BT@CENDOJ.RAMAJUDICIAL.GOV.CO,"CARRERA 52#71-84 - OFICINA 106, CASA DE JUSTICIA EL BOSQUE",4-,MEDELLÍN,,,ORDINARIA,JUDICIAL,,,MARIA CLARA GIRALDO ACEVEDO,92,7
1236,JUZGADO QUINCE CIVIL DEL CIRCUITO DE BARRANQUILLA,JUZGADO 001 CIVIL DEL CIRCUITO DE BARRANQUILLA,JUZGADO,CIVIL_CIRCUITO,JUDICIAL,,080013103001,CCTO15BA@CENDOJ.RAMAJUDICIAL.GOV.CO,"CALLE 40 # 44- 80 - EDIFICIO CENTRO CÍVICO, PISO 8",5-3885005 Ext. 1090,BARRANQUILLA,136,4,ORDINARIA,JUDICIAL,,,NORBERTO GARI  GARCIA,92,6
1237,CDMB CORPORACIÓN AUTÓNOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA,CORPORACION AUTONOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA,CAR,CDMB,COACTIVA,890201573,271,INFO@CDMB.GOV.CO,CARRERA 23   37  63,6346100,BUCARAMANGA,903,28,NACIONAL,AMBIENTE Y DESARROLLO SOSTENIBLE,ORGANOS AUTÓNOMOS,ACTIVA,,92,13
1238,JUZGADO TERCERO MUNICIPAL DE PEQUEÑAS CAUSAS LABORALES DE CALI,JUZGADO 001  MUNICIPAL DE PEQUEÑAS CAUSAS LABORALES DE CALI,JUZGADO,LABORAL,JUDICIAL,,760014105001,J03PCLCCALI@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 5#12-28,2-8986868 EXT 1096,CALI,,31,ORDINARIA,JUDICIAL,,,ANA MARIA VELEZ CHAVES,92,2
1239,JUZGADO PRIMERO PROMISCUO MUNICIPAL PUERTO BOYACA - BOYACÁ,JUZGADO 001 PROMISCUO MUNICIPAL DE PUERTO BOYACÁ,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,155724089001,J01PRMPALPTOB@CENDOJ.RAMAJUDICIAL.GOV.CO,CALLE 11#3A-16 - OF 301,8-7384323 EXTENSION 102,PUERTO BOYACÁ,276,7,ORDINARIA,JUDICIAL,,,DIANA CAROLINA LOPEZ  QUINTERO,92,18
1240,JUZGADO TERCERO PROMISCUO MUNICIPAL COROZAL SUCRE,,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,,J03PRMPALCOROZAL@CENDOJ.RAMAJUDICIAL.GOV.CO,,,COROZAL,986,29,,,,,,92,6
1241,JUZGADO DIECISIETE CIVIL MUNICIPAL DE ORALIDAD SANTIAGO DE CALI,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,J17CMCALI@CENDOJ.RAMAJUDICIAL.GOV.CO,,,CALI,1064,31,,,,,,92,13
1242,JUZGADO DÉCIMO CIVIL DEL CIRCUITO DE BOGOTÁ D C,JUZGADO 001 CIVIL DEL CIRCUITO DE BOGOTÁ,JUZGADO,CIVIL_CIRCUITO,JUDICIAL,,110013103001,CCTO10BT@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 10#14-33 - PISO 15,1-2820244,BOGOTÁ D.C.,1104,14,ORDINARIA,JUDICIAL,,,NESTOR  LEON  CAMELO,92,13
1243,JUZGADO PROMISCUO DE FAMILIA,,JUZGADO,PROMISCUO_FAMILIA,JUDICIAL,,,J01PRFAGUACHICA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,MEDELLÍN,,,,,,,,91,6
1244,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE MONTERREY,JUZGADO 001 PROMISCUO MUNICIPAL DE MONTERREY,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,851624089001,J01PRMPALMONTERREY@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 6#16-30 - PISO 2,8-,MONTERREY,376,10,ORDINARIA,JUDICIAL,,,ANA YOLIMA OTALORA MOZO,91,3
1245,JUZGADO CUARTO CIVIL DEL CIRCUITO DE EJECUCIÓN DE SENTENCIAS BOGOTÁ D C,JUZGADO 001 CIVIL DEL CIRCUITO DE EJECUCIÓN DE SENTENCIAS DE BOGOTÁ,JUZGADO,EJECUCION_CIVIL,JUDICIAL,,110013403001,GDOFEJECCBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 10#14-30 - PISO 4 EDIFICIO JARAMILLO,1-,BOGOTÁ D.C.,1104,14,ORDINARIA,JUDICIAL,,,DARIO MILLAN  LEGUIZAMON,91,10
1246,JUZGADO SESENTA Y OCHO 68 CIVIL MUNICIPAL DE ORALIDAD,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,CMPL68BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,91,4
1247,JUZGADO OCHENTA Y DOS CIVIL MUNICIPAL DE BOGOT À,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,CMPL82BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,91,4
1248,JUZGADO DÉCIMO DE FAMILIA DE BOGOTÁ D C,,JUZGADO,FAMILIA,JUDICIAL,,,FLIA10BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,14,,,,,,91,4
1249,JUZGADO VEINTIUNO 21 CIVIL MUNICIPAL DE BOGOTÁ,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,CMPL21BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,5,,,,,,91,3
1250,JUZGADO NOVENO CIVIL MUNICIPAL  BUCARAMANGA - SANTANDER,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,J09CMBUC@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BUCARAMANGA,903,28,,,,,,91,14
1251,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE FLORIDABLANCA,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE FLORIDABLANCA,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,682764189001,J07CMPALFLORIDABLANCA@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 10#04-48 - PISO 2,7-,FLORIDABLANCA,928,28,ORDINARIA,JUDICIAL,,,LAURA PAOLA GARCIA  FONTECHA,90,12
1252,JUZGADO 021 CIVIL MUNICIPAL DE BARRANQUILLA,JUZGADO 021 CIVIL MUNICIPAL DE MEDELLÍN,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,050014003021,VENTANILLAJ06ECMBQUILLA@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 52#42-73 - PISO 15 EDIFICIO JOSÉ FÉLIX DE RESTREPO,4-2328525 ext 2321,BARRANQUILLA,136,4,ORDINARIA,JUDICIAL,,,MANUAL ANDRES GIRALDO MONSALVE,90,2
1253,JUZGADO 014 CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE BOGOTÁ,JUZGADO 014 CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE BOGOTÁ,JUZGADO,EJECUCION_CIVIL,JUDICIAL,,110014303014,RADICACIONJ14EJECMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 10#14-33 - PISO3,1-,BOGOTÁ D.C.,1104,5,ORDINARIA,JUDICIAL,,,JAVIER DE JESUS CAMPOS  ANGULO,90,6
1254,JUZGADO TERCERO MUNICIPAL DE PEQUEÑAS CAUSAS LABORALES BUCARAMANGA- SANTANDER,JUZGADO 001  MUNICIPAL DE PEQUEÑAS CAUSAS LABORALES DE BUCARAMANGA,JUZGADO,LABORAL,JUDICIAL,,680014105001,J03LPCBUC@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 12#31-08,7-,BUCARAMANGA,903,28,ORDINARIA,JUDICIAL,,,MARIA FERNANDA LOZADA ORTIZ,89,9
1255,JUZGADO SEGUNDO PROMISCUO DE FAMILIA,,JUZGADO,PROMISCUO_FAMILIA,JUDICIAL,,,JPRFCTO02BJA@NOTIFICACIONESRJ.GOV.CO,,,,,,,,,,,89,5
1256,JUZGADO SEGUNDO CIVIL MUNICIPAL DE GARZÓN HUILA,JUZGADO 001 CIVIL MUNICIPAL DE GARZÓN,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,412984003001,J02CMPALGARZON@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 8 # 7-73,8-8330576,GARZÓN,649,18,ORDINARIA,JUDICIAL,,,ALVARO ANDRES RODRIGUEZ  BERMEO,89,4
1257,JUZGADO SEGUNDO DE PEQUEÑAS CAUSAS LABORALES DE PASTO,JUZGADO 001  MUNICIPAL DE PEQUEÑAS CAUSAS LABORALES DE PASTO,JUZGADO,LABORAL,JUDICIAL,,520014105001,J02LPQCPSO@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 22#19-16 - OFICINA 302,2-,PASTO,791,22,ORDINARIA,JUDICIAL,,,INES STEFANIA BARRIOS REDONDO,89,1
1258,JUZGADO ONCE 11 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE BOGOTÁ D.C,,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,,J11PQCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,14,,,,,,89,9
1259,JUZGADO 18 CIVIL MUNICIPAL DE EJECUCIÓN,JUZGADO CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE MANIZALES,JUZGADO,EJECUCION_CIVIL,JUDICIAL,,170014303000,RADICACIONJ18EJECMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,NA,NA,MANIZALES,,,ORDINARIA,ADMINISTRATIVA,,,,88,5
1260,ALCALDÍA MUNICIPAL DE ARJONA,ALCALDIA DE ARJONA,ALCALDIA,,COACTIVA,890480254,111,PQR@TRANSITOARJONA.COM,CARRERA 47 Nº 52 - 86 PLAZA PRINCIPAL,6294097,ARJONA,161,6,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,ISAIAS RAFAEL SIMANCAS CASTRO,88,6
1261,JUZGADO OCTAVO DE FAMILIA DE BUCARAMANGA,JUZGADO 001 DE FAMILIA  DE BUCARAMANGA,JUZGADO,FAMILIA,JUDICIAL,,680013110001,J08FABUC@CENDOJ.RAMAJUDICIAL.GOV.CO,CALLE 35#11-12 - OFICINA 212,7-3411,BUCARAMANGA,903,28,ORDINARIA,JUDICIAL,,,JENIFFER FORERO  LAGUADO,88,2
1262,JUZGADO 36 CIVIL DEL CIRCUITO DE BOGOTÁ D.C,,JUZGADO,CIVIL_CIRCUITO,JUDICIAL,,,CCTO36BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,14,,,,,,88,3
1263,JUZGADO SEGUNDO CIVIL DEL CIRCUITO DE MANIZALES,JUZGADO 001 CIVIL DEL CIRCUITO DE MANIZALES,JUZGADO,CIVIL_CIRCUITO,JUDICIAL,,170013103001,CCTO02MA@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 23 # 21-48,6- 11202,MANIZALES,336,8,ORDINARIA,JUDICIAL,,,ANA MARIA OSORIO  TORO,88,7
1264,JUZGADO OCTAVO CIVIL DEL CIRCUITO DISTRITO JUDICIAL DE CÚCUTA,JUZGADO 001 CIVIL DEL CIRCUITO DE CÚCUTA,JUZGADO,CIVIL_CIRCUITO,JUDICIAL,,540013103001,JCIVCCU8@CENDOJ.RAMAJUDICIAL.GOV.CO,AVENIDA 2 ESTE#7A-11 - BLOQUE A PISO 4 OFICINA 414A,7-,CÚCUTA,823,23,ORDINARIA,JUDICIAL,,,JOSE ARMANDO RAMIREZ BAUTISTA,88,15
1265,JUZGADO DOCE LABORAL DEL CIRCUITO DE CALI,,JUZGADO,LABORAL_CIRCUITO,JUDICIAL,,,J12LCCALI@CENDOJ.RAMAJUDICIAL.GOV.CO,,,AGUACHICA,,31,,,,,,88,1
1266,JUZGADO SEXTO CIVIL DEL CIRCUITO BUCARAMANGA SANTANDER,,JUZGADO,CIVIL_CIRCUITO,JUDICIAL,,,J06CCBUC@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BUCARAMANGA,903,28,,,,,,88,7
1267,JUZGADO PRIMERO PROMISCUO MUNICIPAL PUERTO LÓPEZ - META,,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,,J01PRMPLOPEZ@CENDOJ.RAMAJUDICIAL.GOV.CO,,,PUERTO LÓPEZ,741,21,,,,,,88,11
1268,JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLES DE SOLEDAD,,JUZGADO,,JUDICIAL,,,J04PRPCSOLEDAD@CENDOJ.RAMAJUDICIAL.GOV.CO,,,SOLEDAD,154,4,,,,,,87,7
1269,JUZGADO DIECISEIS CIVIL MUNICIPAL DE ORALIDAD DE CALI VALLE,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,J16CMCALI@CENDOJ.RAMAJUDICIAL.GOV.CO,,,CALI,,31,,,,,,87,10
1270,ALCALDIA DE FUNZA,ALCALDIA DE FUNZA,ALCALDIA,,COACTIVA,899999433,592,CONTACTENOS@FUNZA-CUNDINAMARCA.GOV.CO,CARRERA 14 NO.13 - 05,8264343,FUNZA,517,14,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,JEIMMY SULGEY VILLAMIL BUITRAGO,87,5
1271,JUZGADO TREINTA Y UNO LABORAL DEL CIRCUITO DE BOGOTÁ D C,,JUZGADO,LABORAL_CIRCUITO,JUDICIAL,,,JLATO31@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,14,,,,,,87,3
1272,ALCALDÍA MUNICIPAL DE SABANALARGA,ALCALDIA DE SABANALARGA - CASANARE,ALCALDIA,,COACTIVA,891857823,982,IMPUESTOS@SABANALARGA-ATLANTICO.GOV.CO,PALACIO MUNICIPAL,6245006,SABANALARGA,151,4,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,CARLOS EFREN ESPINOSA BERNAL,87,6
1273,JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES DE VALLEDUPAR - CESAR,,JUZGADO,,JUDICIAL,,,J07CMVPAR@CENDOJ.RAMAJUDICIAL.GOV.CO,,,VALLEDUPAR,456,12,,,,,,87,16
